INDICE_LINHA;NOME_FONTE;ID_ESCOLA;NOME_INEP;MUNICIPIO;CLASSIFICACAO_MATCH;MOTIVO;SCORE
0;Colegio Estadual Cívico Militar Prefeito Carlos Massaretto;41025482.0;CARLOS MASSARETTO C E CM PREFEF M P;Apucarana;confirmed;Top match claro (score 0.958 vs 0.637);0.958
1;Alberto Santos Dumont, C E-Ef M Profis;41025318.0;ALBERTO SANTOS DUMONT C E CMEF M P;Apucarana;ambiguous;Competição próxima entre 'ALBERTO SANTOS DUMONT C E CMEF M P' (Apucarana) e 'ALBERTO SANTOS DUMONT C E CE F M P' (Ramilândia);1.262
2;Colégio Estadual Cívico Militar Heitor C. A. Furtado;41025652.0;HEITOR C A FURTADO C E CMEF M PROFIS;Apucarana;ambiguous;Competição próxima entre 'HEITOR C A FURTADO C E CMEF M PROFIS' (Apucarana) e 'HEITOR C DE A FURTADO C E C EFM' (Tupãssi);1.175
3;Jose Canale, C E Cívico-Militar Pe-Ef M e Profissional;41025717.0;JOSE CANALE C E CM PEEF M PROFIS;Apucarana;confirmed;Top match claro (score 0.923 vs 0.637);0.923
4;Colégio Estadual Cívico Militar Marquês de Caravelas;41046617.0;GENEROSO MARQUES C E CM DREF M;Cambará;ambiguous;Competição próxima entre 'GENEROSO MARQUES C E CM DREF M' (Cambará) e 'EDITE C MARQUES C E CMEF M' (Turvo);0.762
5;Francisco F Bastos, C E-Ef M;41026632.0;FRANCISCO F BASTOS C E CMEF M PROFIS;Arapongas;confirmed;Top match claro (score 1.175 vs 0.762);1.175
6;Walfredo S Correa, C E-Ef M;41027086.0;WALFREDO S CORREA C E CMEF M PROFIS;Arapongas;confirmed;Top match claro (score 1.175 vs 0.762);1.175
7;Jose De Anchieta, C E Pe-Ef M Profis;41025806.0;JOSE DE ANCHIETA C E CM PEEF M PROFIS;Apucarana;ambiguous;Competição próxima entre 'JOSE DE ANCHIETA C E CM PEEF M PROFIS' (Apucarana) e 'JOSE DE ANCHIETA C E CEF M' (Paranavaí);1.175
8;OSMAR GUARACY FREIRE, C E-EF M P;41026055.0;OSMAR GUARACY FREIRE C E CMEF M P;Apucarana;confirmed;Top match claro (score 1.262 vs 0.437);1.262
9;Colégio Estadual Polivalente Carlos Domingos Silva;41026152.0;POLIVALENTE C D SILVA C E CMEF M P;Apucarana;confirmed;Top match claro (score 0.815 vs 0.650);0.815
10;Colégio Estadual Irondi Mantovani Pugliesi;41164920.0;IRONDI MANTOVANI PUGLIESI C E CMEF M;Arapongas;confirmed;Candidato único com score 1.262;1.262
11;Colégio Estadual Rosa Delúcia Calsavara;41027370.0;ROSA D CALSAVARA C E CMEF M PROFIS;Cambira;confirmed;Top match claro (score 0.923 vs 0.654);0.923
