NOME_KML;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;CO_MUNICIPIO;LATITUDE;LONGITUDE;DISTANCIA_KM;MATCH_TYPE;SCORE
Colegio Estadual Cívico Militar Prefeito Carlos Massaretto;41025482;CARLOS MASSARETTO C E CM PREFEF M P;Apucarana;4101408;-23.5525914;-51.4255693;3.9;EXATO_LOCALIZADO;5.08
Alberto Santos Dumont, C E-Ef M Profis;41025318;ALBERTO SANTOS DUMONT C E CMEF M P;Apucarana;4101408;-23.5539536;-51.4679734;0.6;EXATO_LOCALIZADO;8.23
Colégio Estadual Cívico Militar Heitor C. A. Furtado;41025652;HEITOR C A FURTADO C E CMEF M PROFIS;Apucarana;4101408;-23.5567566;-51.4923123;3.0;EXATO_LOCALIZADO;5.91
Jose Canale, C E Cívico-Militar Pe-Ef M e Profissional;41025717;JOSE CANALE C E CM PEEF M PROFIS;Apucarana;4101408;-23.5367279;-51.4442329;2.4;EXATO_LOCALIZADO;5.43
Colégio Estadual Cívico Militar Marquês de Caravelas;41026470;CARAVELASC E CM MARQUES DEEF M PROFIS;Arapongas;4101507;-23.414043;-51.433881;0.8;CONFIRMADO_GEO;2.58
Francisco F Bastos, C E-Ef M;41026632;FRANCISCO F BASTOS C E CMEF M PROFIS;Arapongas;4101507;-23.3908575;-51.4468896;3.4;EXATO_LOCALIZADO;5.9
Walfredo S Correa, C E-Ef M;41027086;WALFREDO S CORREA C E CMEF M PROFIS;Arapongas;4101507;-23.3988298;-51.4296244;1.9;EXATO_LOCALIZADO;5.94
Jose De Anchieta, C E Pe-Ef M Profis;41025806;JOSE DE ANCHIETA C E CM PEEF M PROFIS;Apucarana;4101408;-23.5506594;-51.4379052;2.6;EXATO_LOCALIZADO;5.42
OSMAR GUARACY FREIRE, C E-EF M P;41026055;OSMAR GUARACY FREIRE C E CMEF M P;Apucarana;4101408;-23.5770531;-51.4280765;4.7;EXATO_LOCALIZADO;8.11
Colégio Estadual Polivalente Carlos Domingos Silva;41026152;POLIVALENTE C D SILVA C E CMEF M P;Apucarana;4101408;-23.560829;-51.4475131;2.0;EXATO_LOCALIZADO;5.14
Colégio Estadual Irondi Mantovani Pugliesi;41164920;IRONDI MANTOVANI PUGLIESI C E CMEF M;Arapongas;4101507;-23.4545218;-51.4311545;4.4;EXATO_LOCALIZADO;8.12
Colégio Estadual Rosa Delúcia Calsavara;41027370;ROSA D CALSAVARA C E CMEF M PROFIS;Cambira;4103800;-23.5980919;-51.5768082;1.0;EXATO_LOCALIZADO;5.47
Colégio Estadual Cívico Militar Olavo Bilac;41035046;OLAVO BILAC C E CMEF M;Faxinal;4107603;-23.9862929;-51.3099004;2.7;EXATO_LOCALIZADO;5.92
Colégio Estadual Cívico Militar Jandaia do Sul;41027558;JANDAIA DO SUL C E CMEF M;Jandaia do Sul;4112108;-23.6043288;-51.6437141;0.4;EXATO_LOCALIZADO;5.99
Colégio Estadual Tadashi Enomoto;41026284;TADASHI ENOMOTO C E CMEF M;Apucarana;4101408;-23.5271891;-51.4582487;2.6;EXATO_LOCALIZADO;5.92
C.E. Cívico-Militar Professora Jaci Real Prado de Oliveira;41122925;JACI REAL P OLIVEIRA C E CM PROFAEFMP;Almirante Tamandaré;4100400;-25.313673;-49.2898451;1.5;EXATO_LOCALIZADO;7.24
Emilia Buzato, C E-Ef M;41122836;EMILIA BUZATO C E CM EF M PROFIS;Campo Magro;4104253;-25.3805007;-49.387306;6.5;EXATO_LOCALIZADO;5.8
Escola Estadual Prof Rosa Frederica Johnson;41123212;ROSA F JOHNSON E E CM PROFA EF;Almirante Tamandaré;4100400;-25.3436638;-49.2710547;4.3;EXATO_LOCALIZADO;5.07
