codigo_inep;nome_escola;municipio;status_matching_ccm;status_matching_rendimento;obs_rendimento;status_matching_ideb;obs_ideb
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41010345;CASTRO ALVES C E CMEM PROFIS;Rondon;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41010540;SANTOS DUMONT C EEF M N;São Tomé;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41012631;RIBEIRO DE CAMPOS E E CMEF;Goioerê;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41016254;ANTONIO VIEIRA C E PEEF M PROF NORMAL;Engenheiro Beltrão;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41018800;LEO KOHLER E E CM PROFEF;Terra Boa;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41020189;OSVALDO ARANHA E EEF;Lobato;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41020286;FRANCISCO J PERIOTO E E CM PROFEF;Mandaguaçu;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41020685;FRANCISCO P X LOPES E E CONEF;Nova Esperança;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41020910;CECILIA MEIRELES E E CMEF;Santa Fé;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41021010;MANOEL F ALMEIDA E E CM DREF;Santo Inácio;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41021100;ANASTACIO CEREZINE E E CMEF;Alvorada do Sul;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41022750;ARTHUR C E SILVA E E CM PRESEF;Floresta;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41024281;MARCO A PIMENTA C EEF M;Maringá;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41024923;IZABEL C E PRINCEF M;Paiçandu;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41024931;NEIDE BERTASSO BERALDO C EEF M PROFIS;Paiçandu;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41025318;ALBERTO SANTOS DUMONT C E CMEF M P;Apucarana;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41025636;FRANCISCO A SOUSA E E PROFEF;Apucarana;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41025806;JOSE DE ANCHIETA C E CM PEEF M PROFIS;Apucarana;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41026055;OSMAR GUARACY FREIRE C E CMEF M P;Apucarana;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41026152;POLIVALENTE C D SILVA C E CMEF M P;Apucarana;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41026411;ANTONIO RACANELLO SAMPAIO C EEF M;Arapongas;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41026705;IVANILDE DE NORONHA C EEF M;Arapongas;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41026764;JULIA WANDERLEY E E PROFAEF;Arapongas;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41027370;ROSA D CALSAVARA C E CMEF M PROFIS;Cambira;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41028279;HERMINIA R LUPION C EEF M PROFIS;Sabáudia;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41028406;ANDREA NUZZI C E CM MAESTROEF M P;Cambé;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41028457;ATTILIO CODATO C E CMEF M;Cambé;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
41028732;HELENA KOLODY C E CM PROFEF M;Cambé;CONFIRMADO;CONFIRMADO;Código INEP localizado nas tabelas de taxas de rendimento do Censo Escolar.;CONFIRMADO;Código INEP localizado na base oficial de divulgação do IDEB.
