codigo_inep;nome_escola;municipio;codigo_ibge_municipio;uf;nre;endereco;bairro;cep;latitude;longitude;tipo_coordenada;dependencia_administrativa;rede_ensino;localizacao;situacao_funcionamento;etapas_ofertadas;fonte;ano_referencia;is_ccm;ano_inicio_ccm;status_ccm_atual;nome_original_edital
41000021;AGOSTINHO STEFANELLO E E EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1322607;-52.317238;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;AGOSTINHO STEFANELLO E E CMEF
41000064;CHAPEUZINHO VERMELHO E M EI EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Municipal;Pública Municipal;Urbana;EM_ATIVIDADE;Anos Iniciais (1º-5º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000072;CRISTIANO BARBON E M C EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Municipal;Pública Municipal;Urbana;EM_ATIVIDADE;Anos Iniciais (1º-5º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000099;JOAO HONORIO LUIZ E M EI EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Municipal;Pública Municipal;Urbana;EM_ATIVIDADE;Anos Iniciais (1º-5º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000102;JULIA WANDERLEY E M EI EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Municipal;Pública Municipal;Urbana;EM_ATIVIDADE;Anos Iniciais (1º-5º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000129;MARISTELA E E EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000153;RAINHA DA PAZ C E EF M PROFIS;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000170;SANTA MARIA E E C EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000200;ALTO PARANA E M EI EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1312;-52.3189;CENTROIDE_MUNICIPIO;Municipal;Pública Municipal;Urbana;EM_ATIVIDADE;Anos Iniciais (1º-5º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
41000226;CECILIA MEIRELES E M EF;Amaporã;4100905;PR;;;;;-23.0943;-52.7866;CENTROIDE_MUNICIPIO;Municipal;Pública Municipal;Urbana;EM_ATIVIDADE;Anos Iniciais (1º-5º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;False;;NAO_CCM;
