codigo_inep;nome_escola;municipio;codigo_ibge_municipio;uf;nre;endereco;bairro;cep;latitude;longitude;tipo_coordenada;dependencia_administrativa;rede_ensino;localizacao;situacao_funcionamento;etapas_ofertadas;fonte;ano_referencia;is_ccm;ano_inicio_ccm;status_ccm_atual;nome_original_edital
41000021;AGOSTINHO STEFANELLO E E EF;Alto Paraná;4100608;PR;PARANAVAÍ ALTO PARANÁ;;;;-23.1322607;-52.317238;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;AGOSTINHO STEFANELLO E E CMEF
41000978;MACHADO DE ASSIS E E EF;Itaúna do Sul;4111308;PR;LOANDA ITAÚNA DO SUL;;;;-22.7289;-52.8874;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2026;FUTURO_2026;MACHADO DE ASSIS E EEF
41001222;LAMARTINE R SOARES C E DR EF M;Loanda;4113502;PR;LOANDA LOANDA;;;;-22.9232;-53.1362;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º), Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2026;FUTURO_2026;LAMARTINE R SOARES C E DREF M
41003292;SANTOS DUMONT C E EF M;Santa Cruz de Monte Castelo;4123303;PR;LOANDA S C M CASTELO;;;;-22.9628599;-53.2915606;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º), Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;SANTOS DUMONT C E CMEF M
41004051;SANTO INACIO DE LOYOLA C E EF M;Terra Rica;4127304;PR;"PARANAVAÍ 
 
TERRA RICA";;;;-22.7330188;-52.6229037;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;SANTO INACIO DE LOYOLA C E CMEF M
41004957;ANCHIETA C E E F M N;Cruzeiro do Oeste;4106605;PR;UMUARAMA CRUZEIRO;;;;-23.7893724;-53.0602044;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º), Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;ANCHIETA C E CMEF M N
41007131;NESTOR VICTOR C E EF M N PROFIS;Pérola;4118907;PR;UMUARAMA PEROLA;;;;-23.8039;-53.6834;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º), Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2026;FUTURO_2026;NESTOR VICTOR C EEF M N PROFIS
41007280;CASTELO BRANCO C E PRES EF M;Tapira;4126900;PR;UMUARAMA TAPIRA;;;;-23.3208267;-53.0736741;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º);INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;CASTELO BRANCO E E CM PRESEF
41008111;NEIVA PAVAN M GARCIA C E EF M PROFA;Umuarama;4128104;PR;UMUARAMA;;;;-23.7656;-53.3201;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º), Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;INDETERMINADO;INDETERMINADO;NEIVA PAVAN M GARCIA C E PROFA EF M
41010132;RUI BARBOSA C E EF EM PROFIS;Japurá;4112405;PR;CIANORTE  JAPURÁ;;;;-23.4693;-52.5557;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Anos Finais (6º-9º), Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2026;FUTURO_2026;RUI BARBOSA C EEF EM PROFIS
41010345;CASTRO ALVES C E EM PROFIS;Rondon;4122602;PR;CIANORTE RONDON;;;;-23.4188279;-52.7746999;EXATA_KML;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2024;SIM;CASTRO ALVES C E CMEM PROFIS
41010540;SANTOS DUMONT C E EM N;São Tomé;4126108;PR;CIANORTE  SÃO TOMÉ;;;;-23.5349;-52.5901;CENTROIDE_MUNICIPIO;Estadual;Pública Estadual;Urbana;EM_ATIVIDADE;Ensino Médio;INEP - Censo Escolar 2023, SEED-PR Editais 2020-2025, SEED-PR KML, IBGE;2023;True;2026;FUTURO_2026;SANTOS DUMONT C EEF M N
