codigo_inep;codigo_mec;nome_escola_original;nome_escola_cadastro;municipio;ano;data_documento;data_evento;tipo_evento;status_evento;documento_origem;pagina_origem;evidencia;nivel_confianca;observacao
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2020;2020-11-06;2020-11-06;OUTRO;PROCESSO_SELETIVO_GERAL;edital_532020_gsseed_altera_edital_462020_gsseed_ccmpr.pdf;1;edital_532020_gsseed_altera_edital_462020_gsseed_ccmpr.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital_532020_gsseed_altera_edital_462020_gsseed_ccmpr.
;;Rede Estadual - Programa Colégios Cívico-Militares do Paraná (1ª Onda Geral);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2020;2020-11-11;2020-11-11;IMPLEMENTACAO;INICIO_ATIVIDADES_FIXADO_2021;edital_582020_gsseed_altera_edital_462020gsseed_ccmpr.pdf;3;edital_582020_gsseed_altera_edital_462020gsseed_ccmpr.pdf (p. 3) - Edital normativo que fixa expressamente o início das atividades das escolas cívico-militares da Lei nº 20.338/2020 para o ano letivo de 2021.;NORMATIVO_GERAL;Cláusula expressa do cronograma: Início das atividades em 02/01/2021 (Protocolo 17.021.626-1).
;;Rede Estadual - Programa Colégios Cívico-Militares do Paraná (1ª Onda Geral);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2020;2020-12-07;2020-12-07;IMPLEMENTACAO;INICIO_ATIVIDADES_FIXADO_2021;edital_762020_gsseed_altera_edital_462020gsseed_ccmpr.pdf;1;edital_762020_gsseed_altera_edital_462020gsseed_ccmpr.pdf (p. 1) - Edital normativo que fixa expressamente o início das atividades das escolas cívico-militares da Lei nº 20.338/2020 para o ano letivo de 2021.;NORMATIVO_GERAL;Cláusula expressa do cronograma: Início das atividades em 02/01/2021 (Protocolo 17.021.626-1).
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-07-28;2023-07-28;OUTRO;PROCESSO_SELETIVO_GERAL;edital462023_gsseed_protocolo203330650_ccm_processo_seletivo_retificado.pdf;1;edital462023_gsseed_protocolo203330650_ccm_processo_seletivo_retificado.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital462023_gsseed_protocolo203330650_ccm_processo_seletivo_retificado.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-08-21;2023-08-21;OUTRO;PROCESSO_SELETIVO_GERAL;edital552023_gsseed_protocolo209006375_ccm_processo_seletivo_inscricoes_validadas.pdf;1;edital552023_gsseed_protocolo209006375_ccm_processo_seletivo_inscricoes_validadas.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital552023_gsseed_protocolo209006375_ccm_processo_seletivo_inscricoes_validadas.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-09-05;2023-09-05;OUTRO;PROCESSO_SELETIVO_GERAL;edital632023_gsseed_protocolo203330650_ccm_processo_seletivo_retificacao_edital552023.pdf;1;edital632023_gsseed_protocolo203330650_ccm_processo_seletivo_retificacao_edital552023.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital632023_gsseed_protocolo203330650_ccm_processo_seletivo_retificacao_edital552023.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-09-05;2023-09-05;OUTRO;PROCESSO_SELETIVO_GERAL;edital642023_gsseed_protocolo203330650_ccm_processo_seletivo_retificacao_edital612023.pdf;1;edital642023_gsseed_protocolo203330650_ccm_processo_seletivo_retificacao_edital612023.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital642023_gsseed_protocolo203330650_ccm_processo_seletivo_retificacao_edital612023.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-09-22;2023-09-22;OUTRO;PROCESSO_SELETIVO_GERAL;edital752023_gsseed_protocolo203330650_ccm_retificacao_cronograma_edital44.pdf;1;edital752023_gsseed_protocolo203330650_ccm_retificacao_cronograma_edital44.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital752023_gsseed_protocolo203330650_ccm_retificacao_cronograma_edital44.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-10-17;2023-10-17;OUTRO;PROCESSO_SELETIVO_GERAL;edital842023_gsseed_protocolo203330650.pdf;1;edital842023_gsseed_protocolo203330650.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital842023_gsseed_protocolo203330650.
;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);REDE ESTADUAL DO PARANÁ;Estado do Paraná;2023;2023-10-26;2023-10-26;OUTRO;PROCESSO_SELETIVO_GERAL;edital942023_gsseed_protocolo203330650_CCM_novo_cronograma.pdf;1;edital942023_gsseed_protocolo203330650_CCM_novo_cronograma.pdf (p. 1) - Processo seletivo de gestão/direção militar ou edital normativo de cronograma da rede estadual.;NORMATIVO_GERAL;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital942023_gsseed_protocolo203330650_CCM_novo_cronograma.
