codigo_mec_documento;codigo_inep;nome_escola_original;nome_escola_cadastro;municipio_documento;municipio_cadastro;uf;status_matching;nivel_confianca;justificativa;fonte_cadastro;documento_origem;pagina_origem;observacao
41000021;41000021;AGOSTINHO STEFANELLO, E E-EF;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;Alto Paraná;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Alto Paraná' idêntico e termos significativos concordantes (AGOSTINHO, STEFANELLO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1102023_gsseed.pdf;1;Rede Estadual.
41000978;41000978;MACHADO DE ASSIS, E E E-F;MACHADO DE ASSIS E EEF;Itaúna do Sul;Itaúna do Sul;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Itaúna do Sul' idêntico e termos significativos concordantes (ASSIS, MACHADO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual.
41001222;41001222;LOANDA LAMARTINE R SOARES, C E DR - EF M;LAMARTINE R SOARES C E DREF M;Loanda;Loanda;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Loanda' idêntico e termos significativos concordantes (LAMARTINE, R, SOARES).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual.
41003292;41003292;S C M CASTELO SANTOS DUMONT, C E-EF M;SANTOS DUMONT C E CMEF M;Loanda;Santa Cruz de Monte Castelo;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Conclusivo + NRE/Município Validado);"Revalidado na Auditoria Final: Código MEC 41003292 exato; Estabelecimento Santos Dumont no Edital 114/2023 (p. 2) sob NRE Loanda em Santa Cruz de Monte Castelo (S C M Castelo). Identidade canônica confirmada sem ambiguidade.";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;3;Revisar relação NRE vs Município.
41004051;41004051;CE SANTO INÁCIO DE LOYOLA;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;Terra Rica;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Terra Rica' idêntico e termos significativos concordantes (INACIO, LOYOLA, SANTO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1092023_gsseed_protocolo213100866_ccm_consulta_publica_novas_instituicoes.pdf;1;Rede Estadual.
41004957;41004957;CRUZEIRO OESTE ANCHIETA, C E-E F M N;ANCHIETA C E CMEF M N;Umuarama;Cruzeiro do Oeste;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Conclusivo + NRE/Município Validado);"Revalidado na Auditoria Final: Código MEC 41004957 exato; Estabelecimento Anchieta no Edital 114/2023 (p. 3) sob NRE Umuarama em Cruzeiro do Oeste. Identidade canônica confirmada sem ambiguidade.";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;5;Revisar relação NRE vs Município.
41007131;41007131;PEROLA NESTOR VICTOR, C E-EF M N PROFIS;NESTOR VICTOR C EEF M N PROFIS;Umuarama;Pérola;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Pérola' identificado no cabeçalho/texto e termos nominais concordantes (NESTOR, VICTOR).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;3;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41007280;41007280;TAPIRA CASTELO BRANCO, C E PRES-EF M;CASTELO BRANCO E E CM PRESEF;Umuarama;Tapira;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Tapira' identificado no cabeçalho/texto e termos nominais concordantes (BRANCO, CASTELO).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;5;Rede Estadual. Variação gráfica ou abreviação de município tratada.
41008111;41008111;UMUARAMA NEIVA PAVAN M GARCIA, C E-EF M PROFA;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;Umuarama;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Concordante);"Código MEC coincide perfeitamente com ID_ESCOLA INEP; município 'Umuarama' idêntico e termos significativos concordantes (GARCIA, NEIVA, PAVAN).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;3;Rede Estadual.
41010132;41010132;JAPURÁ RUI BARBOSA, C E-EF EM PROFIS;RUI BARBOSA C EEF EM PROFIS;Cianorte;Japurá;PR;CONFIRMADO;Nível 3 (Código Exato + Nome Compatível + Município Validado no Texto);"Código MEC coincide com ID_ESCOLA; município 'Japurá' identificado no cabeçalho/texto e termos nominais concordantes (BARBOSA, RUI).";INEP/MEC - Base Consolidada Paraná (divulgacao_pr_consolidado.xlsx / escolas_tidy.parquet);edital1252025_gsseed_prot249175889_ccm_consulta_publica.pdf;2;Rede Estadual. Variação gráfica ou abreviação de município tratada.
