codigo_inep;nome_escola;municipio;ano;civico_militar;status_historico;ano_inicio_ccm;ano_fim_ccm;evidencia_inicio;evidencia_status;nivel_confianca;observacao
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2020;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2020. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2021;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2021. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2022;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2022. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2023;NAO;NAO_CCM_EM_CONSULTA_PREPARATORIA;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);"Escola operando na rede regular estadual; participou de consulta pública de adesão em 2023 cuja vigência foi fixada apenas a partir de 01/01/2024.";CONFIRMADO;
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2024;SIM;CCM_ATIVO_IMPLEMENTADO;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Início formal da gestão cívico-militar em 01/01/2024 conforme edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024).;CONFIRMADO;
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2025;SIM;CCM_ATIVO_CONTINUIDADE;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);"Gestão cívico-militar em continuidade regular; sem publicação de ato de revogação, exclusão ou encerramento.";CONFIRMADO;
41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;2026;SIM;CCM_ATIVO_CONTINUIDADE;2024;NAO_CONSTA;edital1222023_gsseed_prot214105004_ccm_resultado_processo_consulta_publica.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);"Gestão cívico-militar em continuidade regular; sem publicação de ato de revogação, exclusão ou encerramento.";CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2020;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2020. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2021;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2021. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2022;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2022. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2023;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2023. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2024;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2024. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2025;NAO;NAO_CCM_EM_CONSULTA_PREPARATORIA;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);"Escola operando na rede regular estadual; participou de consulta pública de adesão em 2025 cuja vigência foi fixada apenas a partir de 01/01/2026.";CONFIRMADO;
41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;2026;SIM;CCM_ATIVO_IMPLEMENTADO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Início formal da gestão cívico-militar em 01/01/2026 conforme edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026).;CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2020;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2020. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2021;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2021. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2022;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2022. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2023;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2023. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2024;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Sem menção em editais nos autos para o ano de 2024. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2025;NAO;NAO_CCM_EM_CONSULTA_PREPARATORIA;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);"Escola operando na rede regular estadual; participou de consulta pública de adesão em 2025 cuja vigência foi fixada apenas a partir de 01/01/2026.";CONFIRMADO;
41001222;LAMARTINE R SOARES C E DREF M;Loanda;2026;SIM;CCM_ATIVO_IMPLEMENTADO;2026;NAO_CONSTA;edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026);Início formal da gestão cívico-militar em 01/01/2026 conforme edital1362025_gsseed_prot249175889_ccm_consulta_publica_resultado.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2026).;CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2020;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2020. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2021;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2021. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2022;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2022. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2023;NAO;NAO_CCM_EM_CONSULTA_PREPARATORIA;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);"Escola operando na rede regular estadual; participou de consulta pública de adesão em 2023 cuja vigência foi fixada apenas a partir de 01/01/2024.";CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2024;SIM;CCM_ATIVO_IMPLEMENTADO;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);Início formal da gestão cívico-militar em 01/01/2024 conforme edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024).;CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2025;SIM;CCM_ATIVO_CONTINUIDADE;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);"Gestão cívico-militar em continuidade regular; sem publicação de ato de revogação, exclusão ou encerramento.";CONFIRMADO;
41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;2026;SIM;CCM_ATIVO_CONTINUIDADE;2024;NAO_CONSTA;edital1142023_gsseed_ccm.pdf, p. 2 (Vigência expressa fixada a partir de 01/01/2024);"Gestão cívico-militar em continuidade regular; sem publicação de ato de revogação, exclusão ou encerramento.";CONFIRMADO;
41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;2020;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1212023_gsseed_prot213100866_ccm.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2020. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;Homologação de adesão com início em 01/01/2024 publicada no Edital nº 121/2023 - GS/SEED (DIOE 11566 em 20/12/2023).
41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;2021;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1212023_gsseed_prot213100866_ccm.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2021. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;Homologação de adesão com início em 01/01/2024 publicada no Edital nº 121/2023 - GS/SEED (DIOE 11566 em 20/12/2023).
41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;2022;INDETERMINADO;INDETERMINADO_SEM_DOCUMENTO_NO_PERIODO;2024;NAO_CONSTA;edital1212023_gsseed_prot213100866_ccm.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Sem menção em editais nos autos para o ano de 2022. Conservadoramente mantido como INDETERMINADO conforme diretriz metodológica.;CONFIRMADO;Homologação de adesão com início em 01/01/2024 publicada no Edital nº 121/2023 - GS/SEED (DIOE 11566 em 20/12/2023).
41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;2023;NAO;NAO_CCM_EM_CONSULTA_PREPARATORIA;2024;NAO_CONSTA;edital1212023_gsseed_prot213100866_ccm.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);"Escola operando na rede regular estadual; participou de consulta pública de adesão em 2023 cuja vigência foi fixada apenas a partir de 01/01/2024.";CONFIRMADO;Homologação de adesão com início em 01/01/2024 publicada no Edital nº 121/2023 - GS/SEED (DIOE 11566 em 20/12/2023).
41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;2024;SIM;CCM_ATIVO_IMPLEMENTADO;2024;NAO_CONSTA;edital1212023_gsseed_prot213100866_ccm.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024);Início formal da gestão cívico-militar em 01/01/2024 conforme edital1212023_gsseed_prot213100866_ccm.pdf, p. 1 (Vigência expressa fixada a partir de 01/01/2024).;CONFIRMADO;Homologação de adesão com início em 01/01/2024 publicada no Edital nº 121/2023 - GS/SEED (DIOE 11566 em 20/12/2023).
