ano_saeb;codigo_inep;nome_escola;municipio;status_matching;fonte_saeb;observacao
2005;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
